area_fips,county,state,population,pct_non_white,num_uninsured_total,pct_uninsured_total,september_employment_accom_food,september_jobs_per_thousand_accom_food,september_jobs_pct_total_accom_food,september_jobs_pct_total_accom_food_plus_pct_uninsured_total,september_employment_all_industries,september_employment_lq_accom_food
01001,Autauga County,Alabama,55200,25,4093,8.7,1270,115,11.5,20.2,11042,1.21
01003,Baldwin County,Alabama,208107,17,19119,11.3,13639,180,18,29.3,75855,1.89
01005,Barbour County,Alabama,25782,53.9,2136,12.2,684,82,8.2,20.4,8347,0.86
01007,Bibb County,Alabama,22527,25.4,1727,10.2,186,40,4,14.2,4690,0.42
01009,Blount County,Alabama,57645,12.9,6333,13.4,788,90,9,22.4,8737,0.95
01011,Bullock County,Alabama,10352,78.5,803,11.4,0,0,0,11.4,2926,0
01013,Butler County,Alabama,20025,48.1,1759,11.2,723,103,10.3,21.5,6987,1.09
01015,Calhoun County,Alabama,115098,27.5,11021,11.9,4954,111,11.1,23,44522,1.17
01017,Chambers County,Alabama,33826,44.2,3208,11.9,0,0,0,11.9,8405,0
01019,Cherokee County,Alabama,25853,8.2,2219,11.2,456,89,8.9,20.1,5113,0.94
01021,Chilton County,Alabama,43930,19.9,5015,13.8,0,0,0,13.8,9577,0
01023,Choctaw County,Alabama,13075,43.6,1124,11.3,0,0,0,11.3,3499,0
01025,Clarke County,Alabama,24387,47.1,2287,11.9,647,83,8.3,20.200000000000003,7772,0.88
01027,Clay County,Alabama,13378,19.7,1459,13.9,0,0,0,13.9,4309,0
01029,Cleburne County,Alabama,14938,7.4,1590,13.3,145,73,7.3,20.6,1999,0.76
01031,Coffee County,Alabama,51288,29.4,5153,12,1653,102,10.2,22.2,16266,1.07
01033,Colbert County,Alabama,54495,21.3,4218,9.7,1854,76,7.6,17.299999999999997,24372,0.8
01035,Conecuh County,Alabama,12514,49.9,1151,12,0,0,0,12,3395,0
01037,Coosa County,Alabama,10855,34.7,1049,13,0,0,0,13,1427,0
01039,Covington County,Alabama,37351,16.6,3523,12.1,952,77,7.7,19.8,12301,0.81
01041,Crenshaw County,Alabama,13865,28.8,1372,12.3,0,0,0,12.3,3725,0
