area_fips,county_name,state_name,pop_total,pct_non_white,pct_uninsured_total,employment_leisure_hospitality,employment_leisure_hospitality_pct_total,employment_plus_uninsured,employment_leisure_hospitality_lq
01001,Autauga County,Alabama,55200,25,10,1564,14.2,24.2,1.27
01003,Baldwin County,Alabama,208107,17,13.2,15591,20.6,33.8,1.84
01005,Barbour County,Alabama,25782,53.9,13.5,738,8.8,22.3,0.79
01007,Bibb County,Alabama,22527,25.4,10.6,193,4.1,14.7,0.37
01009,Blount County,Alabama,57645,12.9,14.1,847,9.7,23.799999999999997,0.87
01011,Bullock County,Alabama,10352,78.5,11.9,101,3.5,15.4,0.31
01013,Butler County,Alabama,20025,48.1,11.9,823,11.8,23.700000000000003,1.06
01015,Calhoun County,Alabama,115098,27.5,11.1,5215,11.7,22.799999999999997,1.05
01017,Chambers County,Alabama,33826,44.2,11.6,884,10.5,22.1,0.94
01019,Cherokee County,Alabama,25853,8.2,13.5,502,9.8,23.3,0.88
01021,Chilton County,Alabama,43930,19.9,16.3,899,9.4,25.700000000000003,0.84
01023,Choctaw County,Alabama,13075,43.6,13.5,148,4.2,17.7,0.38
01025,Clarke County,Alabama,24387,47.1,12.6,661,8.5,21.1,0.76
01027,Clay County,Alabama,13378,19.7,15.9,123,2.9,18.8,0.26
01029,Cleburne County,Alabama,14938,7.4,13.6,145,7.3,20.9,0.65
01031,Coffee County,Alabama,51288,29.4,12.5,1760,10.8,23.3,0.97
01033,Colbert County,Alabama,54495,21.3,11.3,2015,8.3,19.6,0.74
01035,Conecuh County,Alabama,12514,49.9,12.5,314,9.2,21.7,0.83
01037,Coosa County,Alabama,10855,34.7,12.6,59,4.1,16.7,0.37
01039,Covington County,Alabama,37351,16.6,12.2,1003,8.2,20.4,0.73
01041,Crenshaw County,Alabama,13865,28.8,12.8,191,5.1,17.9,0.46
01043,Cullman County,Alabama,82313,7.9,13.8,3071,10.5,24.3,0.94
01045,Dale County,Alabama,49255,31,11,1230,7.1,18.1,0.64
01047,Dallas County,Alabama,40029,72.5,11.4,942,7.8,19.2,0.7
01049,DeKalb County,Alabama,71200,19.3,18.8,1925,8.6,27.4,0.77
01051,Elmore County,Alabama,81212,26.8,9.9,3193,16.1,26,1.45
01053,Escambia County,Alabama,37328,39.8,14.9,1243,9.6,24.5,0.86
01055,Etowah County,Alabama,102939,21.9,12.5,3947,11.1,23.6,0.99
01057,Fayette County,Alabama,16585,15.3,12.3,315,7.9,20.200000000000003,0.71
01059,Franklin County,Alabama,31542,22.9,16.4,733,6.6,23,0.59
01061,Geneva County,Alabama,26491,16.1,14.2,347,6.8,21,0.61
01063,Greene County,Alabama,8426,82.9,11.7,318,17.9,29.599999999999998,1.6
01065,Hale County,Alabama,14887,60.4,11.4,181,6.7,18.1,0.6
01067,Henry County,Alabama,17124,31.1,13.9,223,6.5,20.4,0.58
01069,Houston County,Alabama,104352,33.1,12.7,5745,11.7,24.4,1.05
01071,Jackson County,Alabama,52094,10.7,13.3,1308,8.5,21.8,0.76
01073,Jefferson County,Alabama,659892,49.9,11.1,36794,10.4,21.5,0.93
01075,Lamar County,Alabama,13933,14,11.9,174,5,16.9,0.45
01077,Lauderdale County,Alabama,92585,15.2,11.7,4491,15.2,26.9,1.36
01079,Lawrence County,Alabama,33171,23.5,13.9,568,11.3,25.200000000000003,1.02
01081,Lee County,Alabama,159287,32.6,10.5,9467,15.5,26,1.38
01083,Limestone County,Alabama,93052,23.1,10.9,2046,8.5,19.4,0.76
01085,Lowndes County,Alabama,10236,75.5,11.7,0,0,11.7,0
01087,Macon County,Alabama,19054,84.4,11.6,564,12.2,23.799999999999997,1.09
01089,Madison County,Alabama,357560,35.1,9.5,20413,9.9,19.4,0.89
01091,Marengo County,Alabama,19538,55,10.6,489,7,17.6,0.62
01093,Marion County,Alabama,29965,8,13.1,788,7.8,20.9,0.7
01095,Marshall County,Alabama,95145,18.8,14.4,3573,9.4,23.8,0.84
01097,Mobile County,Alabama,414659,42.8,13.1,17891,10.4,23.5,0.93
01099,Monroe County,Alabama,21512,45.7,13.7,412,6.6,20.299999999999997,0.59
01101,Montgomery County,Alabama,226941,65.5,12.2,12227,9.4,21.6,0.84
01103,Morgan County,Alabama,119122,24,13.2,4686,9.4,22.6,0.84
01105,Perry County,Alabama,9486,70.5,11.7,224,10.5,22.2,0.95
01107,Pickens County,Alabama,20298,46.2,12.2,145,3.9,16.099999999999998,0.35
01109,Pike County,Alabama,33403,43.8,14,1757,12.2,26.2,1.09
01111,Randolph County,Alabama,22574,24.7,13.1,365,7.6,20.7,0.68
01113,Russell County,Alabama,58213,53,12,1735,12.2,24.2,1.09
01115,St. Clair County,Alabama,87306,14,11.5,2451,12.3,23.8,1.1
01117,Shelby County,Alabama,211261,21.9,8.1,9225,10.9,19,0.98
01119,Sumter County,Alabama,12985,75.3,13.4,310,10.3,23.700000000000003,0.92
01121,Talladega County,Alabama,80565,37.1,12,2384,8,20,0.71
01123,Tallapoosa County,Alabama,40636,31.1,11.8,1241,9.2,21,0.83
01125,Tuscaloosa County,Alabama,206213,38,10.1,11484,11.7,21.799999999999997,1.05
01127,Walker County,Alabama,64493,10.9,13,2131,11.6,24.6,1.04
01129,Washington County,Alabama,16643,34.9,13.8,52,1.4,15.200000000000001,0.13
01131,Wilcox County,Alabama,10809,73.2,11.3,110,4,15.3,0.36
01133,Winston County,Alabama,23875,6.1,14.7,393,4.7,19.4,0.42
01999,NA,NA,NA,NA,NA,0,0,NA,0
