area_fips,county_name,state_name,pop_total,pct_non_white,pct_uninsured_total,employment_leisure_hospitality,employment_leisure_hospitality_pct_total,employment_plus_uninsured,employment_leisure_hospitality_lq
01113,Russell County,Alabama,58213,53,12,1735,12.2,24.2,1.09
02020,Anchorage Borough,Alaska,296112,41.5,12.1,18110,12,24.1,1.08
04005,Coconino County,Arizona,140217,45.9,13.1,16512,25.6,38.7,2.29
04017,Navajo County,Arizona,108705,58.5,14.4,3982,14.4,28.8,1.29
04019,Pima County,Arizona,1019722,47.9,12.3,43987,11.7,24,1.05
06037,Los Angeles County,California,10098052,73.7,10.2,546412,12.1,22.299999999999997,1.09
06053,Monterey County,California,433212,69.7,11.9,26512,12.4,24.3,1.11
06083,Santa Barbara County,California,443738,55.1,11.5,28645,13.7,25.2,1.23
08031,Denver County,Colorado,693417,46.3,10.3,67831,12.7,23,1.14
12011,Broward County,Florida,1909151,62.8,16.8,93635,11.4,28.200000000000003,1.02
12057,Hillsborough County,Florida,1378883,50.5,14.7,80546,11.4,26.1,1.02
12073,Leon County,Florida,288102,43.2,11.7,19558,12.8,24.5,1.15
12086,Miami-Dade County,Florida,2715516,86.6,19.5,142351,12.3,31.8,1.1
12095,Orange County,Florida,1321194,59.2,14.8,217295,25,39.8,2.24
12097,Osceola County,Florida,338619,67.1,15.1,20910,20.9,36,1.88
12099,Palm Beach County,Florida,1446277,44.7,17.9,84148,13.9,31.799999999999997,1.24
12111,St. Lucie County,Florida,305591,42,17.9,9649,12.1,30,1.08
13021,Bibb County,Georgia,153490,61.2,16,9303,11.3,27.3,1.01
13051,Chatham County,Georgia,287049,51.1,16.5,24420,15.6,32.1,1.4
13059,Clarke County,Georgia,124602,44.7,18.2,9829,13.8,32,1.23
13097,Douglas County,Georgia,141840,58.1,14.9,5560,12.2,27.1,1.1
13121,Fulton County,Georgia,1021902,60.2,13.7,102527,11.4,25.1,1.02
13151,Henry County,Georgia,221307,54.9,13.7,9538,14.4,28.1,1.29
13153,Houston County,Georgia,151682,43.1,12,8139,12.9,24.9,1.16
13179,Liberty County,Georgia,62108,60.4,13.1,2283,12,25.1,1.08
13185,Lowndes County,Georgia,114582,45.7,17.5,7365,14.9,32.4,1.33
13215,Muscogee County,Georgia,196670,59.3,14.5,12253,13.1,27.6,1.17
13245,Richmond County,Georgia,201463,64.9,16,12595,12.1,28.1,1.08
