area_fips,county,state,population,pct_uninsured_total,pct_uninsured_138_400_poverty,pct_uninsured_age_50_up,september_employment_selected_industries,total_qtrly_wages_selected_industries,september_employment_all_industries,total_qtrly_wages_all_industries,september_jobs_per_thousand_selected_industries,total_qtrly_wages_lc_selected_industries,september_employment_lq_selected_industries,total_qtrly_wages_lq_selected_industries
01003,Baldwin County,Alabama,208107,11.3,12.9,10.5,16177,101710063,75855,732242468,213,0.14,1.72,2.19
01045,Dale County,Alabama,49255,9.7,9.3,9.9,2173,22351658,17256,242294653,126,0.09,1.01,1.45
01051,Elmore County,Alabama,81212,8.7,9.2,7.9,3259,14406708,19775,178343714,165,0.08,1.33,1.27
01077,Lauderdale County,Alabama,92585,11.3,11.5,9.2,4631,19300544,29594,262860805,156,0.07,1.26,1.16
01081,Lee County,Alabama,159287,10.4,10,8.9,9810,39437986,61262,590365069,160,0.07,1.29,1.05
02020,Anchorage Municipality,Alaska,296112,12.7,18.5,9.8,24602,227813739,150786,2231299453,163,0.1,1.31,1.61
02060,Bristol Bay Borough,Alaska,890,17.4,24.1,14.6,283,4490210,1399,39525453,202,0.11,1.63,1.79
02068,Denali Borough,Alaska,2232,14,19.9,11.7,2279,24576758,3164,39413543,720,0.62,5.8,9.83
02090,Fairbanks North Star Borough,Alaska,99653,13.2,17.6,10.6,5656,42265783,38104,534874010,148,0.08,1.2,1.25
02110,Juneau City and Borough,Alaska,32330,13.4,19.7,10.2,3719,37155383,18682,253358341,199,0.15,1.6,2.31
02122,Kenai Peninsula Borough,Alaska,58220,16,21.2,12.3,4074,39746113,20919,270370323,195,0.15,1.57,2.32
02130,Ketchikan Gateway Borough,Alaska,13804,17.2,21.9,13.8,2178,22713645,8378,101947875,260,0.22,2.1,3.51
02164,Lake and Peninsula Borough,Alaska,1375,25.3,28.2,26,372,6088610,1058,15054177,352,0.4,2.83,6.38
02170,Matanuska-Susitna Borough,Alaska,103464,14.8,19.5,12.5,4354,30608557,25445,285833682,171,0.11,1.38,1.69
02220,Sitka City and Borough,Alaska,8738,18.3,24.1,14.4,866,11089363,4701,64137962,184,0.17,1.48,2.73
02230,Skagway Municipality,Alaska,1061,14.1,18.8,13.7,641,6967663,1428,16628186,449,0.42,3.62,6.61
02261,Valdez-Cordova Census Area,Alaska,9301,14.9,19.8,14,1042,13475030,5740,90989357,182,0.15,1.46,2.34
04005,Coconino County,Arizona,140217,13.1,14.8,11.4,17006,107851381,64542,718424947,263,0.15,2.12,2.37
04015,Mohave County,Arizona,206064,13.4,14,10.6,7806,42321846,51255,492977425,152,0.09,1.23,1.35
04017,Navajo County,Arizona,108705,15.1,16.5,15.9,4116,20950007,27601,271288152,149,0.08,1.2,1.22
04019,Pima County,Arizona,1019722,10.9,12.3,9.1,47739,276492982,375829,4495738139,127,0.06,1.02,0.97
04023,Santa Cruz County,Arizona,46584,14,13.5,14.1,1915,11824871,12757,162014594,150,0.07,1.21,1.15
04025,Yavapai County,Arizona,224645,12.9,14.1,11.4,11059,62665853,65676,660578294,168,0.09,1.36,1.5
05035,Crittenden County,Arkansas,49013,8,8.6,7.4,2940,16325649,16602,149545830,177,0.11,1.43,1.72
05045,Faulkner County,Arkansas,122416,8,8.7,5.9,5594,23937093,41675,413002558,134,0.06,1.08,0.91
05085,Lonoke County,Arkansas,72206,7.1,8.2,5.8,2130,8920875,13690,116395672,156,0.08,1.25,1.21
05091,Miller County,Arkansas,43759,8.1,8.9,6.3,1706,8520090,13466,127312979,127,0.07,1.02,1.06
05143,Washington County,Arkansas,228529,12.4,14,9.4,14593,71365692,110761,1244435076,132,0.06,1.06,0.9
06009,Calaveras County,California,45235,7.3,8.7,6.6,1550,8759988,10131,103687777,153,0.08,1.23,1.33
06017,El Dorado County,California,186661,5.4,7.9,4.5,9610,64840245,58405,734116873,165,0.09,1.33,1.39
06027,Inyo County,California,18085,9,10.5,7.1,1728,11591649,7940,88443507,218,0.13,1.75,2.07
06037,Los Angeles County,California,10098052,10.1,12.6,9.6,655032,7136783982,4499378,71218444795,146,0.1,1.17,1.58
06041,Marin County,California,260295,5.4,11.1,4.3,16735,130798187,116531,2008417099,144,0.07,1.16,1.03
06051,Mono County,California,14174,10,11.6,7.3,3360,27989599,7296,79324989,461,0.35,3.71,5.56
06053,Monterey County,California,433212,11.5,13.7,9,27330,222517601,214085,2600761094,128,0.09,1.03,1.35
06057,Nevada County,California,99092,7,8.8,6.5,5118,33918476,31697,377521333,161,0.09,1.3,1.42
06059,Orange County,California,3164182,8.3,11.9,7.7,237524,1735519590,1649219,25735392621,144,0.07,1.16,1.06
06061,Placer County,California,380077,4.3,6.6,3.8,24358,160842318,173086,2478956659,141,0.06,1.13,1.02
06065,Riverside County,California,2383286,8.9,10.5,8.9,99413,593954598,756034,8638805321,131,0.07,1.06,1.08
06073,San Diego County,California,3302833,8.4,11.2,7.7,218351,1656600131,1490221,23098043417,147,0.07,1.18,1.13
06075,San Francisco County,California,870044,5,8.9,3.9,117890,2272660090,765245,22560788525,154,0.1,1.24,1.59
06079,San Luis Obispo County,California,281455,7.3,9.5,5.4,20518,122938099,119572,1461709427,172,0.08,1.38,1.33
06081,San Mateo County,California,765935,5.4,10.1,4.6,66481,767838082,419103,12892999757,159,0.06,1.28,0.94
06083,Santa Barbara County,California,443738,10.5,13.2,7.5,29781,203012187,209271,2812047956,142,0.07,1.15,1.14
06087,Santa Cruz County,California,273765,7.4,9.8,6.3,15109,103554349,109559,1423201660,138,0.07,1.11,1.15
06097,Sonoma County,California,501317,7.6,10.4,5.5,27125,186372927,215187,3017187717,126,0.06,1.02,0.97
06109,Tuolumne County,California,53932,6.4,7.6,6.1,2644,16322324,17892,203805417,148,0.08,1.19,1.26
08031,Denver County,Colorado,693417,10.7,14.9,8.9,89392,1049470311,533201,9492708165,168,0.11,1.35,1.74
08035,Douglas County,Colorado,328614,3.8,7.6,3.4,17081,106720859,130923,2126545405,130,0.05,1.05,0.79
08037,Eagle County,Colorado,54357,12.2,17.1,7.5,10754,105896728,33012,412561873,326,0.26,2.63,4.05
08041,El Paso County,Colorado,688153,7.6,9.8,6.1,39633,234486944,284952,3708631629,139,0.06,1.12,1
08045,Garfield County,Colorado,58538,13.8,16.9,10.9,4063,28240294,26477,341195537,153,0.08,1.24,1.31
08051,Gunnison County,Colorado,16537,10.5,12.6,8.1,2364,17982255,8907,93724385,265,0.19,2.14,3.03
08067,La Plata County,Colorado,55101,11.6,15,10.6,4544,28759861,26553,309255935,171,0.09,1.38,1.47
08069,Larimer County,Colorado,338161,7.4,10,6,23356,138671115,167340,2219563252,140,0.06,1.12,0.99
