area_fips,county,state,population,num_uninsured_total,pct_uninsured_total,september_employment_selected_industries,september_jobs_per_thousand_selected_industries,september_employment_lq_selected_industries
01003,Baldwin County,Alabama,208107,19119,11.3,16177,213,1.72
01077,Lauderdale County,Alabama,92585,8213,11.3,4631,156,1.26
01081,Lee County,Alabama,159287,14323,10.4,9810,160,1.29
02020,Anchorage Municipality,Alaska,296112,32847,12.7,24602,163,1.31
02060,Bristol Bay Borough,Alaska,890,128,17.4,283,202,1.63
02068,Denali Borough,Alaska,2232,248,14,2279,720,5.8
02090,Fairbanks North Star Borough,Alaska,99653,11342,13.2,5656,148,1.2
02110,Juneau City and Borough,Alaska,32330,3641,13.4,3719,199,1.6
02122,Kenai Peninsula Borough,Alaska,58220,7679,16,4074,195,1.57
02130,Ketchikan Gateway Borough,Alaska,13804,1995,17.2,2178,260,2.1
02164,Lake and Peninsula Borough,Alaska,1375,366,25.3,372,352,2.83
02170,Matanuska-Susitna Borough,Alaska,103464,13772,14.8,4354,171,1.38
02220,Sitka City and Borough,Alaska,8738,1335,18.3,866,184,1.48
02230,Skagway Municipality,Alaska,1061,139,14.1,641,449,3.62
02261,Valdez-Cordova Census Area,Alaska,9301,1193,14.9,1042,182,1.46
04005,Coconino County,Arizona,140217,14874,13.1,17006,263,2.12
04015,Mohave County,Arizona,206064,18843,13.4,7806,152,1.23
04017,Navajo County,Arizona,108705,13205,15.1,4116,149,1.2
04019,Pima County,Arizona,1019722,87312,10.9,47739,127,1.02
04023,Santa Cruz County,Arizona,46584,5250,14,1915,150,1.21
04025,Yavapai County,Arizona,224645,20081,12.9,11059,168,1.36
05143,Washington County,Arkansas,228529,24582,12.4,14593,132,1.06
06037,Los Angeles County,California,10098052,872284,10.1,655032,146,1.17
06053,Monterey County,California,433212,41482,11.5,27330,128,1.03
06083,Santa Barbara County,California,443738,38236,10.5,29781,142,1.15
08031,Denver County,Colorado,693417,65375,10.7,89392,168,1.35
08037,Eagle County,Colorado,54357,5958,12.2,10754,326,2.63
08045,Garfield County,Colorado,58538,7048,13.8,4063,153,1.24
08051,Gunnison County,Colorado,16537,1446,10.5,2364,265,2.14
08067,La Plata County,Colorado,55101,5159,11.6,4544,171,1.38
08097,Pitkin County,Colorado,17909,1790,12.3,5777,364,2.93
12005,Bay County,Florida,182482,22229,14.8,13556,181,1.46
12009,Brevard County,Florida,576808,58273,13,29774,134,1.08
12011,Broward County,Florida,1909151,271480,16.9,113452,138,1.12
12015,Charlotte County,Florida,176954,18489,17.1,7840,164,1.32
12017,Citrus County,Florida,143087,14181,15.4,4574,142,1.14
12021,Collier County,Florida,363922,57598,22.8,27700,190,1.53
12031,Duval County,Florida,924229,104607,13.2,68814,131,1.06
12033,Escambia County,Florida,311522,27908,11.4,19592,142,1.14
12035,Flagler County,Florida,107139,11300,14.7,4326,180,1.45
12061,Indian River County,Florida,150984,17515,16.9,7734,148,1.19
12069,Lake County,Florida,335362,39015,15.5,14642,145,1.17
12071,Lee County,Florida,718679,97648,18.6,41567,157,1.27
12073,Leon County,Florida,288102,25965,10.8,19921,130,1.05
12081,Manatee County,Florida,373853,44856,16.1,20405,159,1.28
12085,Martin County,Florida,157581,18440,17,10570,155,1.25
12086,Miami-Dade County,Florida,2715516,453444,20,197349,171,1.37
12087,Monroe County,Florida,76325,12038,20.3,14954,370,2.99
12091,Okaloosa County,Florida,200737,22508,13.5,15614,182,1.47
12095,Orange County,Florida,1321194,181847,15.7,235233,271,2.18
12097,Osceola County,Florida,338619,48632,16.2,21175,212,1.71
12099,Palm Beach County,Florida,1446277,193232,17.4,89088,147,1.18
12101,Pasco County,Florida,510593,60327,14.9,16495,134,1.08
12103,Pinellas County,Florida,957875,104241,14.3,61164,140,1.12
12109,St. Johns County,Florida,235503,20802,10.6,15933,202,1.63
12115,Sarasota County,Florida,412144,43266,16.3,24156,142,1.15
12127,Volusia County,Florida,527634,58072,14.6,28717,165,1.33
13015,Bartow County,Georgia,103620,16117,17.9,5190,127,1.02
13051,Chatham County,Georgia,287049,37954,16.2,30621,195,1.57
13057,Cherokee County,Georgia,241910,27538,12.8,9925,151,1.22
13063,Clayton County,Georgia,278666,47264,18.8,16769,136,1.09
13073,Columbia County,Georgia,147295,14958,11.3,5256,145,1.17
13113,Fayette County,Georgia,111369,9771,10.5,7157,158,1.27
13121,Fulton County,Georgia,1021902,116555,13,113268,126,1.01
13151,Henry County,Georgia,221307,25528,12.8,10188,154,1.24
13215,Muscogee County,Georgia,196670,21826,13.5,12379,132,1.07
13223,Paulding County,Georgia,155840,18417,12.8,4024,157,1.27
13245,Richmond County,Georgia,201463,23116,14.2,13055,125,1.01
13311,White County,Georgia,28928,3831,17.2,1897,203,1.64
16013,Blaine County,Idaho,21994,3182,17.7,3285,254,2.05
16017,Bonner County,Idaho,42711,4377,13.3,2234,152,1.22
16037,Custer County,Idaho,4141,405,13.8,518,299,2.41
16055,Kootenai County,Idaho,153605,12970,10.1,10658,163,1.32
16059,Lemhi County,Idaho,7798,675,12.4,433,159,1.29
16079,Shoshone County,Idaho,12526,1294,13.6,689,152,1.23
16081,Teton County,Idaho,11080,1662,16.5,820,211,1.7
16085,Valley County,Idaho,10401,954,11.8,1472,286,2.31
22051,Jefferson Parish,Louisiana,435300,41978,11.6,30182,161,1.29
22055,Lafayette Parish,Louisiana,240091,21024,10.1,16401,126,1.01
22057,Lafourche Parish,Louisiana,98214,9787,11.9,8997,259,2.09
22075,Plaquemines Parish,Louisiana,23373,2352,11.7,2586,216,1.74
22101,St. Mary Parish,Louisiana,51734,4469,10.6,2857,134,1.08
22105,Tangipahoa Parish,Louisiana,130504,11175,10.1,6006,136,1.1
22109,Terrebonne Parish,Louisiana,112587,11433,12,6785,136,1.09
23009,Hancock County,Maine,54541,4840,11.8,5776,232,1.87
23013,Knox County,Maine,39823,3382,11.7,2790,156,1.25
23017,Oxford County,Maine,57325,5034,11.3,2764,165,1.33
26097,Mackinac County,Michigan,10817,884,11.5,2441,426,3.44
28027,Coahoma County,Mississippi,23802,2569,13.6,1059,138,1.11
28033,DeSoto County,Mississippi,176132,16356,10.4,9898,156,1.26
28045,Hancock County,Mississippi,46653,5902,15.6,2755,203,1.64
28047,Harrison County,Mississippi,202626,26888,15.8,24846,286,2.31
28073,Lamar County,Mississippi,61223,6936,13.1,3484,180,1.45
28087,Lowndes County,Mississippi,59437,6969,14.3,4108,160,1.29
28089,Madison County,Mississippi,103498,9621,10.6,7141,129,1.04
28121,Rankin County,Mississippi,151240,13474,10.7,8385,132,1.07
28151,Washington County,Mississippi,47086,6174,16.2,2176,133,1.07
29019,Boone County,Missouri,176515,14994,10.1,13191,139,1.12
29029,Camden County,Missouri,45096,4657,14.3,4390,260,2.1
29095,Jackson County,Missouri,692003,73991,12.6,46889,125,1.01
29213,Taney County,Missouri,54720,6787,16.2,12057,402,3.24
30009,Carbon County,Montana,10546,939,11.7,692,251,2.02
30013,Cascade County,Montana,81746,6557,10.1,5347,150,1.21
30029,Flathead County,Montana,98082,8259,10.3,8425,187,1.51
30053,Lincoln County,Montana,19358,1771,12.9,808,140,1.13
30077,Powell County,Montana,6861,425,10.8,349,139,1.12
32003,Clark County,Nevada,2141574,246807,13.3,318335,310,2.5
32005,Douglas County,Nevada,47828,4323,12.3,6668,334,2.69
32007,Elko County,Nevada,52252,6100,13.1,5960,267,2.15
32031,Washoe County,Nevada,450486,47683,12.4,41549,183,1.47
34001,Atlantic County,New Jersey,268539,22842,10.5,42726,327,2.63
34013,Essex County,New Jersey,793555,78740,11.5,53437,154,1.24
35005,Chaves County,New Mexico,65459,6252,11.8,3195,151,1.22
36081,Queens County,New York,2298513,202448,10.2,121488,169,1.36
37001,Alamance County,North Carolina,160576,18526,14.1,8415,134,1.08
37021,Buncombe County,North Carolina,254474,27360,13.5,23256,172,1.39
37025,Cabarrus County,North Carolina,201448,18736,10.4,14023,183,1.48
37051,Cumberland County,North Carolina,332106,29738,10.8,17042,142,1.15
37055,Dare County,North Carolina,35741,3715,13,5974,287,2.32
37085,Harnett County,North Carolina,130361,14726,13,3271,126,1.01
37097,Iredell County,North Carolina,172525,17072,11.5,9644,128,1.03
37101,Johnston County,North Carolina,191172,23774,14,6412,126,1.02
37109,Lincoln County,North Carolina,81441,8569,12.7,3135,128,1.03
37119,Mecklenburg County,North Carolina,1054314,120608,12.7,100196,140,1.13
37125,Moore County,North Carolina,95629,8782,11.9,7275,197,1.58
37129,New Hanover County,North Carolina,224231,22417,12.3,19736,167,1.35
37147,Pitt County,North Carolina,177372,16127,10.8,9790,126,1.02
37169,Stokes County,North Carolina,45905,4799,13.3,1111,145,1.17
40017,Canadian County,Oklahoma,136710,15360,12.8,4735,127,1.02
40027,Cleveland County,Oklahoma,276733,29897,12.7,13945,162,1.3
