area_fips,county,state,population,pct_non_white,num_uninsured_total,pct_uninsured_total,september_employment_transportation,september_jobs_per_thousand_transportation,september_jobs_pct_total_transportation,september_jobs_pct_total_transportation_plus_pct_uninsured_total,september_employment_all_industries,september_employment_lq_transportation
01003,Baldwin County,Alabama,208107,17,19119,11.3,586,8,0.8,12.100000000000001,75855,0.62
01021,Chilton County,Alabama,43930,19.9,5015,13.8,0,0,0,13.8,9577,0
01033,Colbert County,Alabama,54495,21.3,4218,9.7,90,4,0.4,10.1,24372,0.3
01039,Covington County,Alabama,37351,16.6,3523,12.1,111,9,0.9,13,12301,0.72
01045,Dale County,Alabama,49255,31,3910,9.7,943,55,5.5,15.2,17256,4.37
01051,Elmore County,Alabama,81212,26.8,5607,8.7,66,3,0.3,9,19775,0.27
01069,Houston County,Alabama,104352,33.1,9416,11.1,127,3,0.3,11.4,48964,0.21
01073,Jefferson County,Alabama,659892,49.9,54690,10,1961,6,0.6,10.6,353623,0.44
01077,Lauderdale County,Alabama,92585,15.2,8213,11.3,140,5,0.5,11.8,29594,0.38
01081,Lee County,Alabama,159287,32.6,14323,10.4,343,6,0.6,11,61262,0.45
01089,Madison County,Alabama,357560,35.1,28477,9.4,1355,7,0.7,10.1,206252,0.53
01095,Marshall County,Alabama,95145,18.8,12263,15.6,80,2,0.2,15.799999999999999,38012,0.17
01097,Mobile County,Alabama,414659,42.8,40073,11.7,2697,16,1.6,13.299999999999999,171725,1.26
01099,Monroe County,Alabama,21512,45.7,2163,12.8,0,0,0,12.8,6261,0
01101,Montgomery County,Alabama,226941,65.5,20236,11,367,3,0.3,11.3,129867,0.23
01109,Pike County,Alabama,33403,43.8,3383,12.9,0,0,0,12.9,14411,0
01115,St. Clair County,Alabama,87306,14,7286,10,37,2,0.2,10.2,19977,0.15
01125,Tuscaloosa County,Alabama,206213,38,15936,9.3,549,6,0.6,9.9,98232,0.45
01127,Walker County,Alabama,64493,10.9,5978,11.7,49,3,0.3,12,18362,0.21
01131,Wilcox County,Alabama,10809,73.2,894,10.5,0,0,0,10.5,2773,0
01999,NA,NA,NA,NA,NA,NA,283,5,0.5,NA,57637,0.39
02013,Aleutians East Borough,Alaska,3425,85,857,27.9,29,10,1,28.9,3045,0.76
02016,Aleutians West Census Area,Alaska,5750,75.8,1051,20.2,195,55,5.5,25.7,3571,4.37
02020,Anchorage Municipality,Alaska,296112,41.5,32847,12.7,6492,43,4.3,17,150786,3.44
02050,Bethel Census Area,Alaska,18040,90.1,3267,19.8,404,58,5.8,25.6,6949,4.65
02060,Bristol Bay Borough,Alaska,890,46.1,128,17.4,57,41,4.1,21.5,1399,3.26
02068,Denali Borough,Alaska,2232,18.9,248,14,146,46,4.6,18.6,3164,3.69
02070,Dillingham Census Area,Alaska,4975,84.1,783,17.4,28,11,1.1,18.5,2441,0.92
02090,Fairbanks North Star Borough,Alaska,99653,29.6,11342,13.2,984,26,2.6,15.799999999999999,38104,2.07
02105,Hoonah-Angoon Census Area,Alaska,2132,56.8,381,22.9,23,22,2.2,25.099999999999998,1060,1.74
02110,Juneau City and Borough,Alaska,32330,35,3641,13.4,1750,94,9.4,22.8,18682,7.49
02122,Kenai Peninsula Borough,Alaska,58220,19.4,7679,16,926,44,4.4,20.4,20919,3.54
02130,Ketchikan Gateway Borough,Alaska,13804,36,1995,17.2,886,106,10.6,27.799999999999997,8378,8.46
02150,Kodiak Island Borough,Alaska,13649,50.5,2188,18.4,277,45,4.5,22.9,6151,3.6
02158,Kusilvak Census Area,Alaska,8198,96.4,1369,17.7,0,0,0,17.7,2678,0
02164,Lake and Peninsula Borough,Alaska,1375,77.8,366,25.3,139,131,13.1,38.4,1058,10.51
02170,Matanuska-Susitna Borough,Alaska,103464,20.5,13772,14.8,759,30,3,17.8,25445,2.39
02180,Nome Census Area,Alaska,9925,85.2,1915,21.2,195,49,4.9,26.1,3941,3.96
02185,North Slope Borough,Alaska,9797,68.9,1614,17.8,115,9,0.9,18.7,12424,0.74
02188,Northwest Arctic Borough,Alaska,7734,89.1,1703,24.1,122,41,4.1,28.200000000000003,2992,3.26
02195,Petersburg Borough,Alaska,3255,37,499,18.7,43,29,2.9,21.599999999999998,1504,2.29
02198,Prince of Wales-Hyder Census Area,Alaska,6474,54.6,1252,23.2,40,16,1.6,24.8,2440,1.31
02220,Sitka City and Borough,Alaska,8738,38.1,1335,18.3,243,52,5.2,23.5,4701,4.13
02230,Skagway Municipality,Alaska,1061,16.4,139,14.1,120,84,8.4,22.5,1428,6.72
02240,Southeast Fairbanks Census Area,Alaska,6876,25.7,1235,21.1,64,25,2.5,23.6,2537,2.02
